symbol,group,description
CAH,Healthcare,Cardinal Health Inc.
CAT,Industrials,Caterpillar Inc.
CB,Financials,Chubb Limited
CBOE,Financials,Cboe Global Markets
CBRE,Real Estate,CBRE Group
CCI,Real Estate,Crown Castle International Corp.
CCL,Consumer_Discretionary,Carnival Corp.
CDNS,Information Technology,Cadence Design Systems
CDW,Information Technology,CDW
CE,Materials,Celanese
CERN,Healthcare,Cerner
CF,Materials,CF Industries Holdings Inc
CFG,Financials,Citizens Financial Group
CHD,Consumer_Staples,Church & Dwight
CHKP,nasdaq_100,Check Point Software Technologies Ltd. Ordinary Shares
CHRW,Industrials,C. H. Robinson Worldwide
CHTR,Communication_Services,Charter Communications
CI,Healthcare,CIGNA Corp.
CINF,Financials,Cincinnati Financial
CL,Consumer_Staples,Colgate-Palmolive
CLX,Consumer_Staples,The Clorox Company
CMA,Financials,Comerica Inc.
CMCSA,Communication_Services,Comcast Corp.
CME,Financials,CME Group Inc.
CMG,Consumer_Discretionary,Chipotle Mexican Grill
CMI,Industrials,Cummins Inc.
CMS,Utilities,CMS Energy
CNC,Healthcare,Centene Corporation
CNP,Utilities,CenterPoint Energy
COF,Financials,Capital One Financial
COG,Energy,Cabot Oil & Gas
COO,Healthcare,The Cooper Companies
COP,Energy,ConocoPhillips
COST,Consumer_Staples,Costco Wholesale Corp.
COTY,Consumer_Staples,Coty Inc
CPB,Consumer_Staples,Campbell Soup
CPRT,Industrials,Copart Inc
CRM,Information Technology,Salesforce.com
CSCO,Information Technology,Cisco Systems
CSGP,nasdaq_100,"CoStar Group, Inc. Common Stock"
CSX,Industrials,CSX Corp.
CTAS,Industrials,Cintas Corporation
CTL,Communication_Services,CenturyLink Inc
CTSH,Information Technology,Cognizant Technology Solutions
CTXS,Information Technology,Citrix Systems
CVS,Healthcare,CVS Health
CVX,Energy,Chevron Corp.
CXO,Energy,Concho Resources
D,Utilities,Dominion Energy
DAL,Industrials,Delta Air Lines Inc.
DD,Materials,DuPont de Nemours Inc
DE,Industrials,Deere & Co.
DFS,Financials,Discover Financial Services
DG,Consumer_Discretionary,Dollar General
DGX,Healthcare,Quest Diagnostics
DHI,Consumer_Discretionary,D. R. Horton
DHR,Healthcare,Danaher Corp.
DIS,Communication_Services,The Walt Disney Company
DISCA,Communication_Services,Discovery Inc. (Class A)
DISCK,Communication_Services,Discovery Inc. (Class C)
DISH,Communication_Services,Dish Network
DLR,Real Estate,Digital Realty Trust Inc
DLTR,Consumer_Discretionary,Dollar Tree
DOV,Industrials,Dover Corporation
DPZ,Consumer_Discretionary,Domino's Pizza
DRE,Real Estate,Duke Realty Corp
DRI,Consumer_Discretionary,Darden Restaurants
DTE,Utilities,DTE Energy Co.
DUK,Utilities,Duke Energy
DVA,Healthcare,DaVita Inc.
DVN,Energy,Devon Energy
DXC,Information Technology,DXC Technology
DXCM,Healthcare,DexCom
EA,Communication_Services,Electronic Arts
EBAY,Consumer_Discretionary,eBay Inc.
ECL,Materials,Ecolab Inc.
ED,Utilities,Consolidated Edison
EFX,Industrials,Equifax Inc.
EIX,Utilities,Edison Int'l
EL,Consumer_Staples,Est�e Lauder Companies
EMN,Materials,Eastman Chemical
EMR,Industrials,Emerson Electric Company
EOG,Energy,EOG Resources
EQIX,Real Estate,Equinix
EQR,Real Estate,Equity Residential
ES,Utilities,Eversource Energy
ESS,Real Estate,Essex Property Trust Inc.
ETFC,Financials,E*Trade
ETN,Industrials,Eaton Corporation
ETR,Utilities,Entergy Corp.
EVRG,Utilities,Evergy
EW,Healthcare,Edwards Lifesciences
EXC,Utilities,Exelon Corp.
EXPD,Industrials,Expeditors
EXPE,Consumer_Discretionary,Expedia Group
EXR,Real Estate,Extra Space Storage
F,Consumer_Discretionary,Ford Motor Company
FANG,Energy,Diamondback Energy
FAST,Industrials,Fastenal Co
FB,Communication_Services,Facebook Inc.
FBHS,Industrials,Fortune Brands Home & Security
FCX,Materials,Freeport-McMoRan Inc.
FDX,Industrials,FedEx Corporation
FE,Utilities,FirstEnergy Corp
FFIV,Information Technology,F5 Networks
FIS,Information Technology,Fidelity National Information Services
FISV,Information Technology,Fiserv Inc
FITB,Financials,Fifth Third Bancorp
FLIR,Information Technology,FLIR Systems
FLS,Industrials,Flowserve Corporation
FLT,Information Technology,FleetCor Technologies Inc
FMC,Materials,FMC Corporation
FRC,Financials,First Republic Bank
FRT,Real Estate,Federal Realty Investment Trust
FTI,Energy,TechnipFMC
FTNT,Information Technology,Fortinet
FTV,Industrials,Fortive Corp
GD,Industrials,General Dynamics
GE,Industrials,General Electric
GILD,Healthcare,Gilead Sciences
GIS,Consumer_Staples,General Mills
GL,Financials,Globe Life Inc.
GLW,Information Technology,Corning Inc.
GM,Consumer_Discretionary,General Motors
GOOG,Communication_Services,Alphabet Inc. (Class C)
GOOGL,Communication_Services,Alphabet Inc. (Class A)
GPC,Consumer_Discretionary,Genuine Parts
GPN,Information Technology,Global Payments Inc.
GPS,Consumer_Discretionary,Gap Inc.
GRMN,Consumer_Discretionary,Garmin Ltd.
GS,Financials,Goldman Sachs Group
GWW,Industrials,Grainger (W.W.) Inc.
HAL,Energy,Halliburton Co.
HAS,Consumer_Discretionary,Hasbro Inc.
HBAN,Financials,Huntington Bancshares
HBI,Consumer_Discretionary,Hanesbrands Inc
HCA,Healthcare,HCA Healthcare
HD,Consumer_Discretionary,Home Depot
HES,Energy,Hess Corporation
HFC,Energy,HollyFrontier Corp
HIG,Financials,Hartford Financial Svc.Gp.
HII,Industrials,Huntington Ingalls Industries
HLT,Consumer_Discretionary,Hilton Worldwide Holdings Inc
HOG,Consumer_Discretionary,Harley-Davidson
HOLX,Healthcare,Hologic
HON,Industrials,Honeywell Int'l Inc.
HPE,Information Technology,Hewlett Packard Enterprise
HPQ,Information Technology,HP Inc.
HRB,Consumer_Discretionary,H&R Block
HRL,Consumer_Staples,Hormel Foods Corp.
HSIC,Healthcare,Henry Schein
HST,Real Estate,Host Hotels & Resorts
HSY,Consumer_Staples,The Hershey Company
HUM,Healthcare,Humana Inc.
IBM,Information Technology,International Business Machines
ICE,Financials,Intercontinental Exchange
IDXX,Healthcare,IDEXX Laboratories
IEX,Industrials,IDEX Corporation
IFF,Materials,Intl Flavors & Fragrances
ILMN,Healthcare,Illumina Inc
INCY,Healthcare,Incyte
INFO,Industrials,IHS Markit Ltd.
INTC,Information Technology,Intel Corp.
INTU,Information Technology,Intuit Inc.
IP,Materials,International Paper
IPG,Communication_Services,Interpublic Group
IPGP,Information Technology,IPG Photonics Corp.
IQV,Healthcare,IQVIA Holdings Inc.
IRM,Real Estate,Iron Mountain Incorporated
ISRG,Healthcare,Intuitive Surgical Inc.
IT,Information Technology,Gartner Inc
ITW,Industrials,Illinois Tool Works
IVZ,Financials,Invesco Ltd.
J,Industrials,Jacobs Engineering Group
JBHT,Industrials,J. B. Hunt Transport Services
JCI,Industrials,Johnson Controls International
JD,nasdaq_100,"JD.com, Inc. American Depositary Shares"
JKHY,Information Technology,Jack Henry & Associates
JNJ,Healthcare,Johnson & Johnson
JNPR,Information Technology,Juniper Networks
JPM,Financials,JPMorgan Chase & Co.
JWN,Consumer_Discretionary,Nordstrom
K,Consumer_Staples,Kellogg Co.
KEY,Financials,KeyCorp
KEYS,Information Technology,Keysight Technologies
KHC,Consumer_Staples,Kraft Heinz Co
KIM,Real Estate,Kimco Realty
KLAC,Information Technology,KLA Corporation
KMB,Consumer_Staples,Kimberly-Clark
KMI,Energy,Kinder Morgan
KMX,Consumer_Discretionary,Carmax Inc
KO,Consumer_Staples,Coca-Cola Company
KR,Consumer_Staples,Kroger Co.
KSS,Consumer_Discretionary,Kohl's Corp.
KSU,Industrials,Kansas City Southern
L,Financials,Loews Corp.
LB,Consumer_Discretionary,L Brands Inc.
LBTYA,nasdaq_100,Liberty Global plc Class A Ordinary Shares
LBTYK,nasdaq_100,Liberty Global plc Class C Ordinary Shares
LDOS,Information Technology,Leidos Holdings
LEG,Consumer_Discretionary,Leggett & Platt
LEN,Consumer_Discretionary,Lennar Corp.
LH,Healthcare,Laboratory Corp. of America Holding
LHX,Industrials,L3Harris Technologies
LIN,Materials,Linde plc
LKQ,Consumer_Discretionary,LKQ Corporation
LLY,Healthcare,Lilly (Eli) & Co.
LMT,Industrials,Lockheed Martin Corp.
LNC,Financials,Lincoln National
LNT,Utilities,Alliant Energy Corp
LOW,Consumer_Discretionary,Lowe's Cos.
LRCX,Information Technology,Lam Research
LULU,nasdaq_100,lululemon athletica inc. Common Stock
LUV,Industrials,Southwest Airlines
LVS,Consumer_Discretionary,Las Vegas Sands
LW,Consumer_Staples,Lamb Weston Holdings Inc
LYB,Materials,LyondellBasell
LYV,Communication_Services,Live Nation Entertainment
MA,Information Technology,Mastercard Inc.
MAA,Real Estate,Mid-America Apartments
MAR,Consumer_Discretionary,Marriott Int'l.
MAS,Industrials,Masco Corp.
MCD,Consumer_Discretionary,McDonald's Corp.
MCHP,Information Technology,Microchip Technology
MCK,Healthcare,McKesson Corp.
MCO,Financials,Moody's Corp
MDLZ,Consumer_Staples,Mondelez International
MDT,Healthcare,Medtronic plc
MELI,nasdaq_100,"MercadoLibre, Inc. Common Stock"
MET,Financials,MetLife Inc.
MGM,Consumer_Discretionary,MGM Resorts International
MHK,Consumer_Discretionary,Mohawk Industries
MKC,Consumer_Staples,McCormick & Co.
MKTX,Financials,MarketAxess
MLM,Materials,Martin Marietta Materials
MMC,Financials,Marsh & McLennan
MMM,Industrials,3M Company
MNST,Consumer_Staples,Monster Beverage
MO,Consumer_Staples,Altria Group Inc
MOS,Materials,The Mosaic Company
MPC,Energy,Marathon Petroleum
MRK,Healthcare,Merck & Co.
MRO,Energy,Marathon Oil Corp.
MS,Financials,Morgan Stanley
MSCI,Financials,MSCI Inc
MSFT,Information Technology,Microsoft Corp.
MSI,Information Technology,Motorola Solutions Inc.
MTB,Financials,M&T Bank Corp.
MTD,Healthcare,Mettler Toledo
MU,Information Technology,Micron Technology
MXIM,Information Technology,Maxim Integrated Products Inc
MYL,Healthcare,Mylan N.V.
NBL,Energy,Noble Energy Inc
NCLH,Consumer_Discretionary,Norwegian Cruise Line Holdings
NDAQ,Financials,Nasdaq Inc.
NEE,Utilities,NextEra Energy
NEM,Materials,Newmont Corporation
NFLX,Communication_Services,Netflix Inc.
NI,Utilities,NiSource Inc.
NKE,Consumer_Discretionary,Nike
NLSN,Industrials,Nielsen Holdings
NOC,Industrials,Northrop Grumman
NOV,Energy,National Oilwell Varco Inc.
NOW,Information Technology,ServiceNow
NRG,Utilities,NRG Energy
NSC,Industrials,Norfolk Southern Corp.
NTAP,Information Technology,NetApp
NTES,nasdaq_100,"NetEase, Inc. American Depositary Shares"
NTRS,Financials,Northern Trust Corp.
NUE,Materials,Nucor Corp.
NVDA,Information Technology,Nvidia Corporation
NVR,Consumer_Discretionary,NVR Inc
NWL,Consumer_Discretionary,Newell Brands
NWS,Communication_Services,News Corp. Class B
NWSA,Communication_Services,News Corp. Class A
NXPI,nasdaq_100,NXP Semiconductors N.V. Common Stock
O,Real Estate,Realty Income Corporation
ODFL,Industrials,Old Dominion Freight Line
OKE,Energy,ONEOK
OMC,Communication_Services,Omnicom Group
ORCL,Information Technology,Oracle Corp.
ORLY,Consumer_Discretionary,O'Reilly Automotive
OXY,Energy,Occidental Petroleum
PAYC,Information Technology,Paycom
PAYX,Information Technology,Paychex Inc.
PBCT,Financials,People's United Financial
PCAR,Industrials,PACCAR Inc.
PEAK,Real Estate,Healthpeak Properties
PEG,Utilities,Public Serv. Enterprise Inc.
PEP,Consumer_Staples,PepsiCo Inc.
PFE,Healthcare,Pfizer Inc.
PFG,Financials,Principal Financial Group
PG,Consumer_Staples,Procter & Gamble
PGR,Financials,Progressive Corp.
PH,Industrials,Parker-Hannifin
PHM,Consumer_Discretionary,PulteGroup
PKG,Materials,Packaging Corporation of America
PKI,Healthcare,PerkinElmer
PLD,Real Estate,Prologis
PM,Consumer_Staples,Philip Morris International
PNC,Financials,PNC Financial Services
PNR,Industrials,Pentair plc
PNW,Utilities,Pinnacle West Capital
PPG,Materials,PPG Industries
PPL,Utilities,PPL Corp.
PRGO,Healthcare,Perrigo
PRU,Financials,Prudential Financial
PSA,Real Estate,Public Storage
PSX,Energy,Phillips 66
PVH,Consumer_Discretionary,PVH Corp.
PWR,Industrials,Quanta Services Inc.
PXD,Energy,Pioneer Natural Resources
PYPL,Information Technology,PayPal
QCOM,Information Technology,QUALCOMM Inc.
QQQ,benchmark,
QRVO,Information Technology,Qorvo
RCL,Consumer_Discretionary,Royal Caribbean Cruises Ltd
RE,Financials,Everest Re Group Ltd.
REG,Real Estate,Regency Centers Corporation
REGN,Healthcare,Regeneron Pharmaceuticals
RF,Financials,Regions Financial Corp.
RHI,Industrials,Robert Half International
RJF,Financials,Raymond James Financial Inc.
RL,Consumer_Discretionary,Ralph Lauren Corporation
RMD,Healthcare,ResMed
ROK,Industrials,Rockwell Automation Inc.
ROL,Industrials,Rollins Inc.
ROP,Industrials,Roper Technologies
ROST,Consumer_Discretionary,Ross Stores
RSG,Industrials,Republic Services Inc
RTX,Industrials,Raytheon Technologies
SBAC,Real Estate,SBA Communications
SBUX,Consumer_Discretionary,Starbucks Corp.
SCHW,Financials,Charles Schwab Corporation
SEE,Materials,Sealed Air
SGEN,nasdaq_100,"Seattle Genetics, Inc. Common Stock"
SHW,Materials,Sherwin-Williams
SIRI,nasdaq_100,Sirius XM Holdings Inc. Common Stock
SIVB,Financials,SVB Financial
SJM,Consumer_Staples,JM Smucker
SLB,Energy,Schlumberger Ltd.
SLG,Real Estate,SL Green Realty
SNA,Industrials,Snap-on
SNPS,Information Technology,Synopsys Inc.
SO,Utilities,Southern Company
SPG,Real Estate,Simon Property Group Inc
SPGI,Financials,S&P Global Inc.
SPLK,nasdaq_100,Splunk Inc. Common Stock
SPY,benchmark,
SRE,Utilities,Sempra Energy
STE,Healthcare,STERIS plc
STT,Financials,State Street Corp.
STX,Information Technology,Seagate Technology
STZ,Consumer_Staples,Constellation Brands
SWK,Industrials,Stanley Black & Decker
SWKS,Information Technology,Skyworks Solutions
SYF,Financials,Synchrony Financial
SYK,Healthcare,Stryker Corp.
SYY,Consumer_Staples,Sysco Corp.
T,Communication_Services,AT&T Inc.
TAP,Consumer_Staples,Molson Coors Brewing Company
TCOM,nasdaq_100,Trip.com Group Limited American Depositary Shares
TDG,Industrials,TransDigm Group
TEL,Information Technology,TE Connectivity Ltd.
TFC,Financials,Truist Financial
TFX,Healthcare,Teleflex
TGT,Consumer_Discretionary,Target Corp.
TIF,Consumer_Discretionary,Tiffany & Co.
TJX,Consumer_Discretionary,TJX Companies Inc.
TMO,Healthcare,Thermo Fisher Scientific
TMUS,Communication_Services,T-Mobile US
TPR,Consumer_Discretionary,Tapestry Inc.
TROW,Financials,T. Rowe Price Group
TRV,Financials,The Travelers Companies Inc.
TSCO,Consumer_Discretionary,Tractor Supply Company
TSLA,nasdaq_100,"Tesla, Inc. Common Stock"
TSN,Consumer_Staples,Tyson Foods
TT,Industrials,Trane Technologies plc
TTWO,Communication_Services,Take-Two Interactive
TWTR,Communication_Services,Twitter Inc.
TXN,Information Technology,Texas Instruments
TXT,Industrials,Textron Inc.
UA,Consumer_Discretionary,Under Armour (Class C)
UAA,Consumer_Discretionary,Under Armour (Class A)
UAL,Industrials,United Airlines Holdings
UDR,Real Estate,UDR Inc.
UHS,Healthcare,Universal Health Services Inc.
ULTA,Consumer_Discretionary,Ulta Beauty
UNH,Healthcare,United Health Group Inc.
UNM,Financials,Unum Group
UNP,Industrials,Union Pacific Corp
UPS,Industrials,United Parcel Service
URI,Industrials,United Rentals Inc.
USB,Financials,U.S. Bancorp
V,Information Technology,Visa Inc.
VAR,Healthcare,Varian Medical Systems
VFC,Consumer_Discretionary,V.F. Corp.
VLO,Energy,Valero Energy
VMC,Materials,Vulcan Materials
VNO,Real Estate,Vornado Realty Trust
VRSK,Industrials,Verisk Analytics
VRSN,Information Technology,Verisign Inc.
VRTX,Healthcare,Vertex Pharmaceuticals Inc
VTR,Real Estate,Ventas Inc
VZ,Communication_Services,Verizon Communications
WAB,Industrials,Wabtec Corporation
WAT,Healthcare,Waters Corporation
WBA,Consumer_Staples,Walgreens Boots Alliance
WDAY,nasdaq_100,"Workday, Inc. Class A Common Stock"
WDC,Information Technology,Western Digital
WEC,Utilities,WEC Energy Group
WELL,Real Estate,Welltower Inc.
WFC,Financials,Wells Fargo
WHR,Consumer_Discretionary,Whirlpool Corp.
WLTW,Financials,Willis Towers Watson
WM,Industrials,Waste Management Inc.
WMB,Energy,Williams Cos.
WMT,Consumer_Staples,Walmart
WRB,Financials,W. R. Berkley Corporation
WRK,Materials,WestRock
WST,Healthcare,West Pharmaceutical Services
WU,Information Technology,Western Union Co
WY,Real Estate,Weyerhaeuser
WYNN,Consumer_Discretionary,Wynn Resorts Ltd
XEL,Utilities,Xcel Energy Inc
XLNX,Information Technology,Xilinx
XOM,Energy,Exxon Mobil Corp.
XRAY,Healthcare,Dentsply Sirona
XRX,Information Technology,Xerox
XYL,Industrials,Xylem Inc.
YUM,Consumer_Discretionary,Yum! Brands Inc
ZBH,Healthcare,Zimmer Biomet Holdings
ZBRA,Information Technology,Zebra Technologies
ZION,Financials,Zions Bancorp
ZTS,Healthcare,Zoetis
^DJI,index,
^IXIC,index,
^NDX,index,
